time,date,value,Route
21:15:00,2019-05-03,00:00:00,Route_4_WharfsideWay
21:30:00,2019-05-03,00:05:05,Route_4_WharfsideWay
21:45:00,2019-05-03,00:00:00,Route_4_WharfsideWay
22:00:00,2019-05-03,00:01:01,Route_4_WharfsideWay
22:15:00,2019-05-03,00:02:05,Route_4_WharfsideWay
22:30:00,2019-05-03,00:02:14,Route_4_WharfsideWay
22:45:00,2019-05-03,00:00:00,Route_4_WharfsideWay
23:00:00,2019-05-03,00:01:46,Route_4_WharfsideWay
23:15:00,2019-05-03,00:00:00,Route_4_WharfsideWay
23:30:00,2019-05-03,00:01:49,Route_4_WharfsideWay
23:45:00,2019-05-03,00:01:34,Route_4_WharfsideWay
00:00:00,2019-05-04,00:00:00,Route_4_WharfsideWay
00:15:00,2019-05-04,00:02:06,Route_4_WharfsideWay
00:30:00,2019-05-04,00:02:59,Route_4_WharfsideWay
00:45:00,2019-05-04,00:00:00,Route_4_WharfsideWay
01:00:00,2019-05-04,00:00:00,Route_4_WharfsideWay
01:15:00,2019-05-04,00:00:00,Route_4_WharfsideWay
01:30:00,2019-05-04,00:00:00,Route_4_WharfsideWay
01:45:00,2019-05-04,00:00:00,Route_4_WharfsideWay
02:00:00,2019-05-04,00:02:44,Route_4_WharfsideWay
02:15:00,2019-05-04,00:00:00,Route_4_WharfsideWay
02:30:00,2019-05-04,00:01:21,Route_4_WharfsideWay
02:45:00,2019-05-04,00:00:00,Route_4_WharfsideWay
03:00:00,2019-05-04,00:00:00,Route_4_WharfsideWay
03:15:00,2019-05-04,00:00:00,Route_4_WharfsideWay
03:30:00,2019-05-04,00:01:40,Route_4_WharfsideWay
03:45:00,2019-05-04,00:00:00,Route_4_WharfsideWay
04:00:00,2019-05-04,00:01:29,Route_4_WharfsideWay
04:15:00,2019-05-04,00:00:00,Route_4_WharfsideWay
04:30:00,2019-05-04,00:01:28,Route_4_WharfsideWay
04:45:00,2019-05-04,00:00:00,Route_4_WharfsideWay
05:00:00,2019-05-04,00:00:00,Route_4_WharfsideWay
05:15:00,2019-05-04,00:01:13,Route_4_WharfsideWay
05:30:00,2019-05-04,00:00:00,Route_4_WharfsideWay
05:45:00,2019-05-04,00:00:00,Route_4_WharfsideWay
06:00:00,2019-05-04,00:00:00,Route_4_WharfsideWay
06:15:00,2019-05-04,00:01:35,Route_4_WharfsideWay
06:30:00,2019-05-04,00:01:19,Route_4_WharfsideWay
06:45:00,2019-05-04,00:00:00,Route_4_WharfsideWay
