"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV","Class1Volume","Class2Volume","Class3Volume","Class4Volume","Class5Volume","Class6Volume"
2019-04-01 04:30:00,="000000001157",4,"WB_NS",1,"West",0,0,"",22222,0,0,0,0,0,0,0
2019-04-01 04:35:00,="000000001157",1,"EB_NS",2,"East",2,0,"",17222,0,0,2,0,0,0,0
2019-04-01 04:35:00,="000000001157",2,"EB_OS",2,"East",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 04:35:00,="000000001157",3,"WB_OS",1,"West",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 04:35:00,="000000001157",4,"WB_NS",1,"West",0,0,"",17222,0,0,0,0,0,0,0
2019-04-01 04:40:00,="000000001157",1,"EB_NS",2,"East",2,0,"",20278,500,0,1,0,1,0,0
2019-04-01 04:40:00,="000000001157",2,"EB_OS",2,"East",0,0,"",20278,0,0,0,0,0,0,0
2019-04-01 04:40:00,="000000001157",3,"WB_OS",1,"West",0,0,"",20278,0,0,0,0,0,0,0
2019-04-01 04:40:00,="000000001157",4,"WB_NS",1,"West",0,0,"",20278,0,0,0,0,0,0,0
2019-04-01 04:45:00,="000000001157",1,"EB_NS",2,"East",7,0,"",20238,286,0,5,0,1,1,0
2019-04-01 04:45:00,="000000001157",2,"EB_OS",2,"East",0,0,"",20238,0,0,0,0,0,0,0
2019-04-01 04:45:00,="000000001157",3,"WB_OS",1,"West",0,0,"",20238,0,0,0,0,0,0,0
2019-04-01 04:45:00,="000000001157",4,"WB_NS",1,"West",0,0,"",20238,0,0,0,0,0,0,0
2019-04-01 04:50:00,="000000001157",1,"EB_NS",2,"East",0,0,"",20238,0,0,0,0,0,0,0
2019-04-01 04:50:00,="000000001157",2,"EB_OS",2,"East",0,0,"",20238,0,0,0,0,0,0,0
